firstName,lastName,linkedinUrl,company
"Ilariia","Belova","https://www.linkedin.com/in/jhilary?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAk7SkcBVMpAoE63B2qVXUyIjzQsauxVJj4","Stealth Startup (YC F25), ex-Yandex"
"Sri","Raghu Malireddi","https://www.linkedin.com/in/r4ghu?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAu0Y0kBacpTHOpn0H58hOmbDHUXfgIDMRE","Moss (YC F25)"
"Kiran","Mohan","https://www.linkedin.com/in/kiranmohanb?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACo2k7oBRTnSx6YhzVSMf6YFlbm_TtYpfb4","Lexi (YC F25)"
"Humza","Ahmed","https://www.linkedin.com/in/h4ahmed?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAEBZClUBwEFUX5nT-VMzl3ruDgwUrxyL0JI","Automax.ai (YC F25)"
"Shivani","Patel","https://www.linkedin.com/in/shivanijpatel?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABx1IXUBcjzTlJFBJXRri8gbY5bOvOxUf40","Telemetron (YC F25)"
"Sebastian","Fischer","https://www.linkedin.com/in/sebafischer?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAxDPYcBmAS-S4GhvVQgfQ1YjDxHDn_bzsc","Wardstone (YC F25)"
"Marvin","Abdel-Massih","https://www.linkedin.com/in/marvinabdel-massih?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACAY8KcB5YZoejxMJoXa8jXubqMAb8XTSAc","Uplane (YC F25)"
"Aman","Mishra","https://www.linkedin.com/in/aman005?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACysC30Bv7Ziy5I9XAff2Uu9gIjsHzrI7Gs","Unsiloed AI (YC F25) • IIT Kharagpur"
"Adnan","Abbas","https://www.linkedin.com/in/adnan-abbas-903b711a2?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC-DptMBwoP_jg3JghsqnLTCeEEaDb-BBsY","Unsiloed AI (YC F25)"
"Angelica","Iacovelli","https://www.linkedin.com/in/angelica-iacovelli-490a8a1a7?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADBkNiwBZlAl5CRf7lPF9aijbLFFjT_ea78","Nucleo (YC F25)"
"Saad","Jamal","https://www.linkedin.com/in/sadjamz?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACh8ctwBNVCbQe17I25QNr1m6QPQUzs4eEs","claybird.com (yc f25)"
"Devin","Cintron","https://www.linkedin.com/in/devin-cintron?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABl7Zq0B7I_AQnRK3ZKU-YppK0srmIHkZpE","Stanford AI"
"Gregory","Makodzeba","https://www.linkedin.com/in/gregory-makodzeba?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC1gtAgBiCX_MoJqJcNubDlCX72eAErRJZ8","prox.inc"
"Maitreya","Wagh","https://www.linkedin.com/in/maitreya-wagh?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACIF72EBPEDKAfaDm8QQNyYB7mvHdnOf5kY","IIT Delhi"
"Brandon","Abreu Smith","https://www.linkedin.com/in/brandon-abreu-smith?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACyKPjkBTqruiO23SDgsxeyk5zDeW0ogN5U","Structured AI (YC F25)"
"Max","Minsker","https://www.linkedin.com/in/max-minsker?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABmOgokBzuSH1-3T2jl9AfQQhqp22LDbzE0","Cranston AI (YC F25)"
"Sai","Mandhan","https://www.linkedin.com/in/saimandhan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADkew1IBQIVaPCIz3s_1d51bimDFxeaZAS0","Remedy (YC F25)"
"Ludovic","Granger","https://www.linkedin.com/in/ludovic-granger?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABpjW_MBpMbu2lwUa38z-iFByXCT3CvxuQM","Leadbay - We discover & qualify companies others can’t find."
"David","Day","https://www.linkedin.com/in/daviddaytw?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAEUlgQMBSpkWobe1sqV1H-zLv3h2O8vcgYc","Co-Founder of LunaBill (YC F25)"
"Siddhant","Paliwal","https://www.linkedin.com/in/siddhantpaliwal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADLr0L4BOtFr0QqkACxTt16scsK_PJf24TY","Bear (YC F25)"
"Shikhar","Bhushan","https://www.linkedin.com/in/shikhrr?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMSlZ0B94Gb20s8y-9VVEChMML4-dtJfQA","s2.dev (YC F25)"
"Cody","Swain","https://www.linkedin.com/in/cody-swain?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB1HtbcBXDt-XFvLLwQkhA1qrMuJN5ox0aI","Parametric (YC F25)"
"Rush","Sadiwala","https://www.linkedin.com/in/rush-sadiwala?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAANQKhIBG6URunQwZIbVZ4Ij5o0Dis5bNw8",""
"Aayush","Naik","https://www.linkedin.com/in/aayn?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABr_CLMB3H8ytcI655eiMnnAw1gx4NrEnzo","Hypercubic (YC F25)"
"Rishabh","Dhariwal","https://www.linkedin.com/in/rishabh-dhariwal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC2gTnYBsxfcHGkRufUjSbS45YeDGLwjyHg","Zarna (YC F25)"
"Harshil","Rastogi","https://www.linkedin.com/in/harshilrastogi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA3I3G8BkiKGo-s38_QMLCJUC8GRepcPSX4","Ex-Google(SWE)"
"Hrishi","P Joshi","https://www.linkedin.com/in/rishij7?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAD9hjacBOCq8aHkqDwAHhE8RiYCBOYFM3AU","Zarna (YC F25)"
"Conor","Brennan-Burke","https://www.linkedin.com/in/conorbrennanburke?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA1QLl8BLpKRHvOKO5gotlLKw4_jpaus9OE","Hyperspell"
"Kurush","Dubash","https://www.linkedin.com/in/kurushdubash?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAakp-8BTXOiIdfsbwsUpeSd74vjeQ-rxWQ","Expert Blockchain Witness"
