firstName,lastName,linkedinUrl,company
"Celia","Manzano","https://www.linkedin.com/in/celiamanz?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC4MJDgB_1ToudtGoizKYptMxBU3xjV-oDw","Rebolt (YC W25)"
"Aamish","Ahmad Beg","https://www.linkedin.com/in/aamish-ahmad-beg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACoRxmwBDt-ZDEs0xDlZqV2nBtSqiXf-JsQ","Lopus AI (YC W25)"
"Zach","Dive","https://www.linkedin.com/in/zacharydive?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABcxoj0BYUJAX7qvs2fplDp0N_WKH2KQYJc","Adam."
"Cameron","Hake","https://www.linkedin.com/in/cameron-hake-651062194?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC2R9x0B_VO72UNfa0VYwTn-NnpZ97MsdMs","Bystreet (YC W25)"
"Robertson","Taylor","https://www.linkedin.com/in/robertsonotaylor?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABdJB20BbR1tnQm-u6x5bt1DyjFpPLezacM","Calltree (YC W25)"
"Ishan","Sheth","https://www.linkedin.com/in/isheth?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACud6zQBs_Q6pan90b-lsZFju8QxG0XZxhM",""
"Nihad","Yolchuyev","https://www.linkedin.com/in/nihad-yolchuyev?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABEL3acBH4VEBeyCWtbrvAV5ItpGYjlnEaU","G LNK"
"James","Zammit","https://www.linkedin.com/in/zammitjames?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABP5vdQBNTlFdrHgskHVfMDo1jYW5A-1Dro","Roark (YC W25)"
"Nand","Vinchhi","https://www.linkedin.com/in/nandvinchhi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADD6z80BZLZz5Ccd5UVoA90lxCRdj4EuUws","Axal (YC W25)"
"Vivaan","Baid","https://www.linkedin.com/in/vivaan-baid-119415177?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACni02UBMvlaUcSSD-q-TVZSiO82q1uOLYk","Duke"
"Sachin","Sridhar","https://www.linkedin.com/in/sachin-sridhar?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAByTtTABlNoW61a2-642TkC8zJ7_56Zfh8s","Subtrace (YC W25)"
"Sriman","Gaddam","https://www.linkedin.com/in/sriman-gaddam?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADDRnuoBQynOHTxbCxey5yDWN662DRprLBI",""
