firstName,lastName,linkedinUrl,company
"Sourav","Choraria","https://www.linkedin.com/in/sourav-choraria-9b389776?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABAmDdcB58o2JkOnTZuAfo0TjBCBm1tgZkw","infinityapp.in(YC W24)"
"Aryan","Agarwal","https://www.linkedin.com/in/aryanag15?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB-3OBEBbnO4P8HhPenFVWTiCZHOv1D4wNE","Yenmo (YC W24)"
"Samagra","Sharma","https://www.linkedin.com/in/samagra-sharma-4476bb135?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACEHn7cBuCrggi1hXaoW7tH_hflZUMVE3mo","Tensorfuse (YC W24) AI Infra"
"Saifur","Rahman","https://www.linkedin.com/in/saif-ur-rahman?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACPWft0BgFSW2adELWPqs6MPebr26zNGP5s","Toolify (YC W24)"
"Amrit","Sharma","https://www.linkedin.com/in/mr-amritsharma?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABpRb_EBvrG5SljKov-2XL_2Dhp378r1q-o","Infinity (YC W24)"
"Prabhat","Singh","https://www.linkedin.com/in/prabhat7758?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACTR2jkB2hjnjbtP91oedGlBrgH3kEKwNQk","GetCrux (YC W24)"
"Chris","Aeberli","https://www.linkedin.com/in/chris-aeberli?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADMFOQsBkh0NAqRkmOhwUTWW8xJL7au4Z2U","Sonia (YC W24)"
"Ashutosh","Purohit","https://www.linkedin.com/in/ashutoshpurohit97?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACO9nawBc2kNtUvOu2-WOull_Om5k06HLgI","Ex -Navi, Swiggy"
"Sidharth","Choraria","https://www.linkedin.com/in/sidharth-choraria-25411b65?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA24uKABcgRKxND6yHr9P18pddlI50EGw3Q","Infinity (YC W24)"
"Tyler","Maran","https://www.linkedin.com/in/tyler-maran?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAyo_iwBYcKGr0Kdg_LFrOo_iwhm6pLJOGs","AI for lending"
"Hendrix","Liu","https://www.linkedin.com/in/hendrix-liu-7a015822b?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADmCS2gBBuig0TBLg_Q3Gu8jUmk6M-Osruc","Keywords AI (YC W24)"
"Rohan","Mayya","https://www.linkedin.com/in/rohan-mayya-a9b341173?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACkppNcBLITUv9fN1xpyy5ZmuIZSp7mXMIU","YC alum"
"Pratik","Gangwal","https://www.linkedin.com/in/pratikgangwal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAxzm5IBVSSgtVsRv1f-6SiS7bSqZck09Mg","BITS Pilani"
"Himanshu","Barmola","https://www.linkedin.com/in/barmola?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACQn5rMB9h6MqXHf_QR2Ugd1JnL-adqRGTE","Infinity (YC W24)"
"Rakshit","Bansal","https://www.linkedin.com/in/rakshitbansal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABTP3bYB31lmX-IeABm_Ba24x2MQa0S-dlk","xPay(YC W24)"
"Chaitanya","Awasthi","https://www.linkedin.com/in/chaitanya-awasthi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADeXhQwBZy1edFglQhJ3aJnx3Qi4yX7L2pk","GetCrux (YC W24)"
"Chad","Bartley","https://www.linkedin.com/in/chad-k-bartley?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABmxQoYBOu_zGk5u0aTFxVCe_a69D-gSBVs",""
"Akshay","Megharaj","https://www.linkedin.com/in/akshay-megharaj-aba3646?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAEeyy4BAIJax8ncOKMYQTOWc61L28I_kPI","BITS Pilani"
"Joel","Ritossa","https://www.linkedin.com/in/joel-ritossa?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACMlSyUBzsp1NLOW4bUeOElHpMNZKjHtzBA","Duckie (YC W24) 🐥 AI Customer Support"
"Louis","Murerwa","https://www.linkedin.com/in/louismurerwa?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACKTJgAB3EIXFDDg4JL3QyVYfi9vU5qWH0o","Ocular AI"
