firstName,lastName,linkedinUrl,company
"Saksham","Manchanda","https://www.linkedin.com/in/saksham-manchanda-fifthrender?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAEWymIMBsDV-sLsbSAsGZOjrrvWsjxp8_KY","FifthRender"
"Pranjali","Awasthi","https://www.linkedin.com/in/pranjali-awasthi-neuro?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADDrgbIB2wj5Muc0zjxuZc5XENtKTw6cCo8","Building slashy.ai (YC S25)"
"Farhan","Hossain","https://www.linkedin.com/in/mfarhanh?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAzievIBKHBuvhyMUN_-y_oIvnA57olsev0","Building for Humanity."
"Omar","Abdelaziz","https://www.linkedin.com/in/oabdelaziz?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA_ezsoBcmKFjeaiyNRbLET4VtoUvHvn2kI","ex-Google"
"Henry","Ndubuaku","https://www.linkedin.com/in/henry-ndubuaku-7b6350b8?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABj3vXoB9WffqkgTXWZ9mY8yadryo7_eqH4",""
"Abhay","Kalra","https://www.linkedin.com/in/abhay-kalra-683688214?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADY0icMB2C2nrK8FpK-3s5UQ9yHhfxynMxw","Avent (YC S25)"
"Daivik","Goel","https://www.linkedin.com/in/daivikg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB9xjdABQH1wq3KlP2ZLYsnm1wSabbTMJoY","uWaterloo Eng"
"Luke","Shiels","https://www.linkedin.com/in/shiels?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACE7-3YBhvDlJBOuk4WywNUdewASLpd0IUk",""
"Khalid","Ashmawy","https://www.linkedin.com/in/khalidashmawy?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAduQdABe9HrfiemXQpoK4qJpbXogToWMEo","Munify (YC S25)"
"Leeds","Rising","https://www.linkedin.com/in/leedsrising?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABrI0yABG5tQaQoImtS1eNEFInq1ohsLPZk","CEO Palace (YC S25)"
"Ethan","Gibbs","https://www.linkedin.com/in/etgibbs?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADD6YMUBq3us1otK_zN0Bl6VIkUh5OWU5AA","Embedder (YC S25)"
"Tim","Cherkasov","https://www.linkedin.com/in/timcherkasov?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABc9mnYB4R_jrJBsvC7zYnmxGNYL4TR7nEw","trace.so (YC S25)"
