postUrl,imgUrl,postContent,type,likeCount,commentCount,repostCount,postDate,action,author,authorUrl,profileUrl,timestamp,viewCount,postTimestamp,sharedPostUrl,videoUrl,approximateDate
https://www.linkedin.com/feed/update/urn:li:activity:7369697502196871169,,"In *very-early-stage* startups, I come across two types of founders. The marketing-focused, who treat the product as a marketing problem, and the product-focused, who see marketing as a product problem.

The instinct of marketing founders is to shout louder, and chase top-of-the-funnel rather than building a better user experience. I find it difficult to be impressed by them. (Having said that, I am super impressed by Roy from Cluely. And I am keenly watching them write a new playbook..)

But product founders see marketing as an extension of the product itself. They try to fix the leaks in the user journey before turning on the tap. 

As these founders are passionate about their product, they accumulate deep insights about their users. When they start sharing those insights on social media, people are naturally drawn to their vision.. and to their product.

This isn't manufactured hype... it's an honest expression. These founders understand their first goal isn't to make a sale but to earn a moment of someone's attention. They know the biggest hurdle isn't a user's money but their most scarce resource.. their time.

One way to truly earn that time is through a genuine transfer of enthusiasm. And from there, let the product onboarding take over... where the job is to deliver a series of ""aha"" moments and run an efficient product funnel. 

These founders do need to overcome their inhibitions and start sharing their thoughts, though.",Text,93,9,3,1mo,Amit Singh reposted this,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-09-15T11:03:00.000Z,,2025-09-05T00:00:00.000Z,,,2025-09-15
https://www.linkedin.com/feed/update/urn:li:activity:7369689554208899072,,"In *very-early-stage* startups, I come across two types of founders. The marketing-focused, who treat the product as a marketing problem, and the product-focused, who see marketing as a product problem.

The instinct of marketing founders is to shout louder, and chase top-of-the-funnel rather than building a better user experience. I find it difficult to be impressed by them. (Having said that, I am super impressed by Roy from Cluely. And I am keenly watching them write a new playbook..)

But product founders see marketing as an extension of the product itself. They try to fix the leaks in the user journey before turning on the tap. 

As these founders are passionate about their product, they accumulate deep insights about their users. When they start sharing those insights on social media, people are naturally drawn to their vision.. and to their product.

This isn't manufactured hype... it's an honest expression. These founders understand their first goal isn't to make a sale but to earn a moment of someone's attention. They know the biggest hurdle isn't a user's money but their most scarce resource.. their time.

One way to truly earn that time is through a genuine transfer of enthusiasm. And from there, let the product onboarding take over... where the job is to deliver a series of ""aha"" moments and run an efficient product funnel. 

These founders do need to overcome their inhibitions and start sharing their thoughts, though.",Text,93,9,3,1mo,Post,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-09-15T11:03:00.000Z,,2025-09-05T00:00:00.000Z,,,2025-09-15
https://www.linkedin.com/feed/update/urn:li:activity:7364291777576529920,,RMG ban exposes our biases and blindspots,Text,34,1,1,1mo,Post,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-09-15T11:03:00.000Z,,2025-08-21T00:00:00.000Z,,,2025-09-15
https://www.linkedin.com/feed/update/urn:li:activity:7359090921822441474,,"The ‘creators turning into a business’ trend is hitting a wall.

As creators professionalise, they start resembling the same polished brands their audience was trying to escape.

The edge now is in staying scrappy, not scaling up.",Text,10,0,0,2mo,Post,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-08-16T11:03:00.000Z,,2025-08-07T00:00:00.000Z,,,2025-08-16
https://www.linkedin.com/feed/update/urn:li:activity:7358809999457865749,https://media.licdn.com/dms/image/v2/D5622AQGaZjgE-s-2pg/feedshare-shrink_800/B56Zh..rQBG4Ag-/0/1754477022926?e=1763596800&v=beta&t=UMwBHgkgz9oKz3bcnikp1LhGkOQznFLEONoL2DCgkZY,"Small is beautiful for agents

LLMs made us believe one big model could do it all.. that felt like boiling the ocean. It worked for some cases, but not for all... especially not for agents.

Agents need fast, cheap, narrow intelligence.. not general reasoning every time. Most agent tasks are structured, repetitive, mechanical... parsing inputs, calling APIs, generating boilerplate. You don’t need a 175b model for that... but most agents still call one.

SLMs flip the architecture.. instead of hitting a central brain, you embed small, specialized models into the workflow.

One model per task. Cheap, fast, easy to align, better latency, better unit economics, and often better performance.

This is an interesting shift in design.. one that fits how agents actually work.",Image,29,2,0,2mo,Post,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-08-16T11:03:00.000Z,,2025-08-06T00:00:00.000Z,,,2025-08-16
https://www.linkedin.com/feed/update/urn:li:activity:7358783218633859072,,"AI has thrown vanity metrics out of the window.

No one cares about DAUs if they don’t pay… or engagement if it doesn’t convert… or even retention if there’s no revenue.

Everyone is demanding monetisation.. if the value isn’t captured, then there is no value.

This exposes fluff.. this forces clarity.",Text,17,0,0,2mo,Post,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-08-16T11:03:00.000Z,,2025-08-06T00:00:00.000Z,,,2025-08-16
https://www.linkedin.com/feed/update/urn:li:activity:7358762972925579265,,"Stablecoins are quietly shifting the crypto narrative.. from casino chips to settlement rails.. less meme coins, more money movement.

For years, bad actors dragged crypto down.. scams, rug pulls, pump-and-dump games.. that phase feels behind us. 

Meanwhile, the world still runs cross-border payments on Swift… which is a network that doesn’t even move money.. it just sends a message: Bank A tells Bank B, “i owe you.” 

The money moves later. through intermediaries.. with delays, fees, and downtime.

Blockchains don’t send messages… they move money. Stablecoins settle instantly, globally, on-chain.

The world is finally ready to witness what this tech can actually do.. and multiple unicorns will be built on its back.",Text,15,0,0,2mo,Post,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-08-16T11:03:00.000Z,,2025-08-06T00:00:00.000Z,,,2025-08-16
https://www.linkedin.com/feed/update/urn:li:activity:7355945703866576896,,"AI is making it easier to write code, to build products. Just like the typewriter made it easier to write. But the hard part isn’t the writing. It’s having something to say. 

Same with products. Knowing what to build, who to build for, and how to sell.
That’s still the real game. AI hasn’t changed that. 

Except for those who are seeking the truth, chasing user insights. But those are a rare breed anyway. 

Join Misfits to learn from those who chase user insights, who do not fit the mould.",Text,34,3,0,2mo,Post,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-08-16T11:03:00.000Z,,2025-07-29T00:00:00.000Z,,,2025-08-16
https://www.linkedin.com/feed/update/urn:li:activity:7355865927621492737,,"‘It’s not landing well, improve your storytelling’. This is not helpful advice to founders… because the word storytelling is misleading. It focuses on the craft when the real problem is lack of clarity.

Pitching is not about polished slides. Or smooth articulation. It is about answering a few questions well. 

What is your proposition? 
Why should you win?
What can you become?

Personally, I have struggled the most with ‘what is my proposition’. It is a simple question but is the most difficult to answer. Unless it is not, like for startups who are building Uber for India or Blinkit for meds. But if you are trying to do something tangential, this one is the hardest.

When we get stuck like this, it’s not a bad idea to remember Charlie Munger’s “Invert, always invert.” Some ambiguity gets addressed by answering ‘what we are not’.

But it all starts with recognising that poor storytelling is often rooted in lack of clarity about our proposition.",Text,48,5,0,2mo,Post,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-08-16T11:03:00.000Z,,2025-07-29T00:00:00.000Z,,,2025-08-16
https://www.linkedin.com/feed/update/urn:li:activity:7354432269412917248,,"Will there be Cursor for QA? Or will Cursor for QA be Cursor itself?

AI unleashes way more code into the world. More lines written means more potential failure points. More lines means more surface area for bugs. 

Also, the volume increase isn't linear. Bug density per line often climbs when developers lean on AI. Because they understand less of what they ship.

Human-written code fails in familiar ways. Off by one errors. Null pointer exceptions. Memory leaks in predictable spots. 

AI bugs are different animals… they emerge from training data quirks or model hallucinations. It creates perfectly syntactic code that does something subtly wrong. Traditional QA tools scan for known anti patterns. 

This creates a market wedge for an AI native startup… legacy testing tools are not designed for probabilistic code generation. New tools focus on how AI fails and try to the ‘weird’ stuff that developers using Cursor struggle with. 

The amateur coder explosion complicates this.. non technical people building with AI may need different QA. Because they can't debug traditional errors… and thus need plain English explanations and automated fixes. Could this be its own market segment.

To put it all together, more ‘developers’ writing a lot more code, code that has more bugs, and probably different type of bugs. Seems like a setup for a massive opportunity for a Cursor for QA kind of product.

But.. what if the code generators just absorb the QA function? Amazon's Kiro is already trying to build testing into the generation process… if Cursor and others follow this path, would standalone QA tools become less relevant. 

But then will there will be any bugs in the future? Even perfect code generators can produce imperfect results when they interact with messy prompts and missing context. Maybe the bugs don't disappear, they just shift form. Maybe ‘developers’ will push boundaries when code becomes bug-free… and new bug types will emerge.. and the cat and mouse game will continue.

At the moment I'm leaning towards 'Cursor will own the QA problem' because non-bugs is their problem statement too. But there must be a founder somewhere who find a way... What's your take? Will there be Cursor for QA? Or will Cursor for QA be Cursor itself?",Text,25,5,0,2mo,Post,Amit Singh,https://www.linkedin.com/in/amisingh,https://www.linkedin.com/in/amisingh/,2025-08-16T11:03:00.000Z,,2025-07-25T00:00:00.000Z,,,2025-08-16
