postUrl,type,videoUrl,imgUrl,postContent,likeCount,commentCount,repostCount,postDate,action,author,authorUrl,profileUrl,timestamp,viewCount,postTimestamp,sharedPostUrl,approximateDate
https://www.linkedin.com/feed/update/urn:li:activity:7384541689413005313,Video (LinkedIn Source),,https://media.licdn.com/dms/image/v2/D4E05AQF_FPosIwVYHA/videocover-low/B4EZnspHkmHgB8-/0/1760611892214?e=1761825600&v=beta&t=8swKbkN6SYO1Oj7dS0nFh0EFFw5p6s9J10nmRo9GNtA,"Was happy to speak to Vertex team on how Digital Identity and GenAI are changing Banking. 
Will love to have your feedback also on what you think
How the meaning of “digital banking” has evolved — and why digital doesn’t always mean frictionless
Why identity verification has been one of banking’s biggest bottlenecks
How initiatives like Aadhaar (India) and SingPass (Singapore) are transforming authentication
The role of Large Language Models (LLMs) in making banking communication more human and personalized
Why GenAI will be the next major game-changer in the financial services industry",108,3,7,1w,Post,Ankit Ratan,https://www.linkedin.com/in/ankitratan,https://www.linkedin.com/in/ankitratan/,2025-10-16T16:32:00.000Z,,2025-10-16T00:00:00.000Z,,2025-10-16
https://www.linkedin.com/feed/update/urn:li:activity:7384024276246515712,Video (LinkedIn Source),,https://media.licdn.com/dms/image/v2/D5605AQEL4x1UFWPIsw/feedshare-thumbnail_720_1280/B56ZnbVW_9J8A0-/0/1760321434935?e=1761825600&v=beta&t=MCgq3izNJqDWxnbAmFQKtFnTJIgDWAOrZwiQ8R2MhOw,"“The future of banking isn’t just digital — it’s frictionless.”

In this new video, Ankit Ratan, CEO and Co-Founder of Signzy, shares how the banking experience is being redefined through technology: from biometric identity verification and national ID systems like Aadhaar and SingPass, to AI-powered customer interactions that make banking faster, more human, and more secure.

Watch as he explains:

↳Why “digital” doesn’t automatically mean “seamless”
↳How identity verification has long been the missing piece — and how it’s finally being solved
↳Why Generative AI is set to become the biggest game-changer in the financial industry
↳What the next phase of trust and personalization in banking could look like

Signzy is a portfolio company of Vertex Ventures SE Asia & India.

#Fintech #DigitalBanking #FutureOfBanking",29,2,5,1w,Ankit Ratan reposted this,Vertex Holdings,https://www.linkedin.com/company/vertex-holdings,https://www.linkedin.com/in/ankitratan/,2025-10-16T16:32:00.000Z,,2025-10-15T00:00:00.000Z,,2025-10-16
https://www.linkedin.com/feed/update/urn:li:activity:7383524604893614080,Article,,,please help the GenAI founders in India,14,0,0,1w,Post,Ankit Ratan,https://www.linkedin.com/in/ankitratan,https://www.linkedin.com/in/ankitratan/,2025-10-16T16:32:00.000Z,,2025-10-13T00:00:00.000Z,https://www.producthunt.com/products/sigma-ai?launch=sigmamind-ai,2025-10-16
https://www.linkedin.com/feed/update/urn:li:activity:7382680343037894656,Image,,https://media.licdn.com/dms/image/v2/D4D22AQGwsYzAg-XozA/feedshare-shrink_800/B4DZnNO_GXGwAg-/0/1760084885282?e=1762992000&v=beta&t=wbKCBz8AKWJNbagmDaSJZgKmuSP5SgP_a6kHAy1fcz0,"🏏 Game On for India’s Fintechs! The Fintech Premier League is here.

For the last few months, we’ve been working on building something truly exciting, and today, it’s finally live! ⚡️

Introducing the Fintech Premier League (FPL) - a first-of-its-kind CXO cricket league bringing together 32 of India’s leading fintechs on one field to celebrate collaboration, competition, and camaraderie.

This has been one of the most fun and meaningful projects I’ve worked on, seeing founders, CXOs, and teams from across the ecosystem come together not just to play but to connect and build lasting relationships beyond business.

FPL will be played across NCR, Mumbai, and Bangalore, with regional rounds, finals, and a national championship that promises to be as dynamic and spirited as the fintech ecosystem itself.

🏏 Here’s to strategy, teamwork, and a healthy dose of rivalry, all in the name of community and sport.
Couldn’t be more thrilled to officially launch the season alongside all 32 incredible team captains!

💬 If you’re curious about the league, partnerships, or want to be part of the action — reach out to me. The Fintech Premier League has just begun, and trust me, it’s going to be unforgettable.

👉 Follow Fintech Premier League
 for all match updates, highlights, and behind-the-scenes moments!

Arpit Ratan Ankit Ratan Paritosh Vatsal Tripathi Shivanshu Gupta Ashishkumar Agarwal Karan Khanna Sagar Thokale Ravi Kant Sharma Anshu Sharma Mahesh Khoba Sudhir Yadav Ashok karna Afshan Ali Khan Ankit Roodra Achin Agarwal Amra Rizvi SUVAM AGARWAL Ashith D Varun Sharma Mohammed A. Aditya Singhal Kashif Malik Subham Sarkar Mohit Bedi Ritwick Bhaduri Naresh Mendan Dhaval Shah Yash Peje Kamta Prasad Suhas Diwakar Zele Sandesh Kunder Ashish Pawar Atul Akash Darshan Gandhi Siddharth Raut Simran Khaneja Vikhyat Mishra Vishesh Yadav",272,14,9,1w,Ankit Ratan reposted this,Sanika Gavankar,https://www.linkedin.com/in/sanikagavankar,https://www.linkedin.com/in/ankitratan/,2025-10-16T16:32:00.000Z,,2025-10-11T00:00:00.000Z,,2025-10-16
https://www.linkedin.com/feed/update/urn:li:activity:7382464393634164736,Image,,https://media.licdn.com/dms/image/v2/D4D22AQEfgepOKtYSQQ/feedshare-shrink_800/B4DZnN4hv3GsAg-/0/1760095795624?e=1762992000&v=beta&t=k6bnvhoMx0KKg01zpacBcf22A1py0iC44eZzvNAgMqU,"This week, we unveiled the trophy that will ignite a season of strategy, grit, and unforgettable moments. From the first ball in NCR to the final showdown, every match will be a testament to the spirit that drives India's fintech revolution.

GAME ON.
32 teams. 3 cities. 1 championship.

The Fintech Premier League isn't just cricket, it's where founders become teammates, CXOs turn into captains, and rivals become brothers in arms.
This is more than a league. This is where competition fuels collaboration, where every six strengthens our community, and where the connections we forge beyond the pitch define our ecosystem.

Bringing this vision to life has been extraordinary. Watching founders, CXOs, and teams across the fintech landscape unite, not just to compete, but to build bonds that transcend boardrooms, reminds us why we do what we do.
This is legacy in the making.

🏆 Heartfelt gratitude to our esteemed chief guests:- 
Dr. Dr. Abhijit Phukon, Economic Adviser, Department of Financial Services, Ministry of Finance, Government of India
Mr. Mahaveer Singhvi, Joint Secretary (New Emerging and Strategic Technologies Division), Ministry of External Affairs, Government of India
Mr. Sachin Seth, Chairman, CRIF India
who graced the trophy unveiling and inspired us to kickstart this incredible journey.

🏏 The trophy is ready. The teams are set.
📅 First match kicks off: 13th October 2025

👉 Follow this page for match updates, fixtures, and behind-the-scenes action.

Anirban Mukherjee Dilip Asbe Cheolwon Lee Balachander Sekhar Santosh Agarwal Nalin Negi Nipun Jain Vikkas Goyal Harshil Mathur Nitya Sharma Sambhav Jain Anup Agrawal Pawan Kumar Rai Kunal Shah Sameer Nigam
Patrick Collison Nithin Kamath Nitin Gupta Amrish Rau Suresh Sethi Ranvir Singh Ramkumar Gunasekaran Ketan Patel Aditya B Chatterjee Manish Jain Deepak Jain Bhavik Vasa Ashish Singhal Jamal Akhtar Arpit Ratan Ankit Ratan Sanika Gavankar Shivam Agarwal",401,38,24,1w,Ankit Ratan reposted this,Fintech Premier League,https://www.linkedin.com/company/fintech-premier-league,https://www.linkedin.com/in/ankitratan/,2025-10-16T16:32:00.000Z,,2025-10-10T00:00:00.000Z,,2025-10-16
https://www.linkedin.com/feed/update/urn:li:activity:7371456840888594432,Image,,https://media.licdn.com/dms/image/v2/D5622AQGRvEUqQos1cg/feedshare-shrink_800/B56Zkys6JFKwAk-/0/1757492264801?e=1762992000&v=beta&t=_Eqi54lBTxiNuj0EtqAYsmdQW8CbRpcA0fRTsHlbCCc,"Humbled to join the Jury at the biggest night in fintech. Some of the best Fintech entries this year. 
The Global Fintech Awards 2025 will honour transformative innovation and visionary leaders redefining the future of finance.

📅 8th October 2025 | Mumbai
🔗 Register now — seats are filling fast: https://lnkd.in/g_9XG_vb

#GlobalFintechAwards #GFA #GFA25",248,4,11,1mo,Post,Ankit Ratan,https://www.linkedin.com/in/ankitratan,https://www.linkedin.com/in/ankitratan/,2025-09-23T16:32:00.000Z,,2025-09-10T00:00:00.000Z,,2025-09-23
https://www.linkedin.com/feed/update/urn:li:activity:7361677268206673921,Text,,,"GPT is a power tool. Judgment is still the main Product manager job.

I’ve been reviewing a lot of PRDs recently, and I’ve noticed something worrying.
Some product managers are now using GPT to drive their thinking instead of support it.
The result? Documents that check every box of a PRD template… but are full of confusion. To a junior PM, it looks polished. To an experienced eye, it’s mostly noise.

To be clear: GPT is extremely powerful. We use it daily. But like any power tool, the outcome depends on the craftsperson. When GPT leads, it can produce confident structure without correct substance—and that’s hard to detect if you’re early in your career.

Where GPT shines
-Evidence gathering: pull prior art, benchmarks, and user quotes.
-Synthesis: compress interviews/notes into themes and edge cases.
-Exploration: generate alternative framings, risks, and test scenarios.
-Communication: first drafts of release notes, FAQs, checklists.

What you should not outsource
-Problem definition: who is the user, what’s the job, what hurts now.
-Context + constraints: compliance, data realities, org priorities.
-Prioritization and trade-offs: what we will not build and why.
Decision ownership: success metrics, guardrails, and accountability.

A simple review test I use
Few sentence problem (no AI): if you can’t state it cleanly, you’re not ready to draft.
Evidence trace: every user scenario ties to a source or observation.
Decisions > templates: I look for rationale, not headings.

GPT should amplify your clarity, not simulate it. If the first time you feel “clear” is after the AI draft, that’s a warning sign.
To young professionals (PMs and beyond): master the thinking, then use GPT to accelerate it. Tools compound good judgment; they can’t replace it.
— Curious to hear how other product teams are seeing the impact of AI in their world.",101,7,1,2mo,Post,Ankit Ratan,https://www.linkedin.com/in/ankitratan,https://www.linkedin.com/in/ankitratan/,2025-08-24T16:32:00.000Z,,2025-08-14T00:00:00.000Z,,2025-08-24
https://www.linkedin.com/feed/update/urn:li:activity:7350451475837317120,Document,,,"Building a company like Signzy means spending most of my time deep in the world of technology, compliance, AI, and risk. It’s fast-paced. High-stakes. Constantly evolving.
But there’s another side to my life — much quieter, but just as meaningful.
For the past few years, my family ( Moni Gupta, Aloka Kumar Kulshrestha) has been running an initiative called Seva Setu. It’s not a startup. There’s no pitch deck. No VC funding. Just a simple mission: serve those who are often overlooked — children from underserved communities, the elderly in care homes, even animals in need.
This past year, Seva Setu has supported students with study kits, helped children access daily nutritious meals, enabled access to quality education, cared for elders, and looked after cows in gaushalas.
It’s not loud work, but worth it.
Whenever the intensity of building Signzy feels overwhelming, Seva Setu reminds me of a different kind of impact - one measured not in product metrics or scale, but in human moments. 
We’ve put together a short annual report to capture some of what we’ve been able to do this year. If you’d like to take a look or just know more, here it is: Seva_Setu_Annual_Report_2024-25
It’s work that grounds me. And reminds me why we build anything in the first place. Hope this encourages all of us to contribute to society in meaningful ways.
#SevaSetu #Signzy #SocialImpact #Compassion #LeadershipWithHeart #GivingBack",161,22,2,3mo,Post,Ankit Ratan,https://www.linkedin.com/in/ankitratan,https://www.linkedin.com/in/ankitratan/,2025-07-25T16:32:00.000Z,,2025-07-14T00:00:00.000Z,,2025-07-25
https://www.linkedin.com/feed/update/urn:li:activity:7347938265859018755,Image,,https://media.licdn.com/dms/image/v2/D5622AQFLx3pNw9rSzQ/feedshare-shrink_800/B56ZfVckxbG0Ag-/0/1751632729390?e=1762992000&v=beta&t=F4zVPHONZ5et0p9ah0BpRj_KPdGBng1xwdMXr5VZfDs,"Gartner just put us on the map 📍 
Signzy has been featured in the Gartner Market Guide for KYC Platforms for Banking!

And we’re the only Indian company to make it to the list! 🇮🇳

This recognition isn’t just a badge of honor; it’s proof that we’re making KYC effortless, secure, and future-ready for banks and fintechs everywhere.

What brought us here? 

Our game-changing One Touch KYC platform :)
 • Onboard customers in seconds, not days 
 • AI-powered verification and real-time risk checks 
 • Seamless, mobile-first experience built for scale

A huge thank you to our incredible team, partners, and clients for believing in innovation that truly changes the game.

Here’s to many more milestones.
Let's go one touch at a time! 🚀

Ankit Ratan, Arpit Ratan, Saurin Parikh, Kaushil Kachhela, Ashishkumar Agarwal, Shivanshu Gupta, Paritosh Vatsal Tripathi, Shivam Agarwal
Dheeraj Devata Himanshu Jain Imran Jafar Alok Goyal Sampath P Ankur Pandey Ayush Jain Bala Srinivasa Mukund Kothari Padma Balaji Piyush Kharbanda",222,17,30,3mo,Ankit Ratan reposted this,Signzy,https://www.linkedin.com/company/teamsignzy,https://www.linkedin.com/in/ankitratan/,2025-07-25T16:32:00.000Z,,2025-07-07T00:00:00.000Z,,2025-07-25
https://www.linkedin.com/feed/update/urn:li:activity:7346592512477667329,Image,,https://media.licdn.com/dms/image/v2/D5622AQGwWIGwnhSLsw/feedshare-shrink_800/B56ZfO_m2.HEAk-/0/1751524472242?e=1762992000&v=beta&t=zmp7Ix-PisqSPGFbdrsK2vbO6vJwM-IfDruutUkrLvQ,"A few months back, a US fintech came to us with a simple ask: “Our KYC is solid. But our conversions are tanking.”
Turns out, even when you check all the compliance boxes, users can still drop off—especially when verification flows don’t flex.
That got us thinking: What if we built something that didn’t just verify identities, but also adapted to them?
🚀 Fast forward to today: Signzy now offers a Full-Stack KYC Waterfall for the USA 🇺🇸
It covers every major method—so if one fails, another kicks in:
• Credit Bureau
 • Telco signals
 • Public & Residential Records
 • Data pre-fill (telco + alternate)
 • One-touch doc-based KYC with biometrics
You can mix and match—go docless, or hybrid, or a smart 2x2 setup.
Want to add AML? IP signals? Risk scoring on email or phone? It's all doable.
 And yes, both real-time APIs and redirect flows are supported.
Why this matters:
 📈 Clients using all 5 layers now see >99% onboarding completion—without giving an inch on compliance.
It’s not just KYC. It’s conversion-first identity infrastructure.
 Let’s talk if you're building in the US 🇺🇸
#Signzy #KYC #Onboarding #Fintech #Compliance #RegTech #USA

Ankit Ratan Ankur Pandey Gaurav Gupta Kaushil Kachhela Vartika Katara Yashdeep Agarwal Udit Jeswani Vamsi Yelamarthi Shivam Agarwal Tanya Narayan @ayush kaul Alok Goyal Bala Srinivasa Gopal Jain Piyush Kharbanda

Kalaari Capital Arkam Ventures Gaja Capital Stellaris Venture Partners Vertex Ventures SE Asia & India",92,5,12,3mo,Ankit Ratan reposted this,Arpit Ratan,https://www.linkedin.com/in/arpit-ratan-a2aaa420,https://www.linkedin.com/in/ankitratan/,2025-07-25T16:32:00.000Z,,2025-07-03T00:00:00.000Z,,2025-07-25
