postUrl,imgUrl,type,postContent,likeCount,commentCount,repostCount,postDate,action,author,authorUrl,profileUrl,timestamp,viewCount,postTimestamp,videoUrl,sharedPostUrl,approximateDate
https://www.linkedin.com/feed/update/urn:li:activity:7384427152982593536,https://media.licdn.com/dms/image/v2/D5622AQEv82CpuSQTSg/feedshare-shrink_800/B56ZnpiRTUI0Ak-/0/1760559701837?e=1762992000&v=beta&t=Ua0NzxTUE0A2nf4xqH_TxXIDVfyt2mUmcariN5FyGxM,Image,"If you ask today’s LLMs, “Generate me an image with 5 apples and 7 bananas,” there’s no guarantee they’ll get it right — here are examples from Gemini and ChatGPT.

But what if I tell you Synthefy’s time series generative models can adhere to such “hard constraints” with strict guarantees. 

That’s why I’m excited to share our new NeurIPS 2025 paper on constrained time series generation.

In this work, we show how to generate high-quality synthetic time series that satisfy hard real-world constraints. Hard constraints are everywhere – from financial time series to the physical world. Imagine asking:
“Generate the Tesla stock price for the next month with a volatility of 5%.”
“Generate the temperature for an oil refinery sensor, ensuring it stays below 120°F.”

Our models make this possible — enforcing constraints while keeping the data realistic and statistically consistent.

If you’re working in finance, engineering, healthcare, or wireless and want to generate or simulate constrained synthetic data, you can use the Synthefy Self-Serve Platform. Apply for access here: https://tally.so/r/meg0Ql.

Huge shoutout to Sai Shankar Narasimhan for leading this — he teaches me something new every week.

The Synthefy team and I will be at NeurIPS (San Diego) this year — DM if you’d like to meet!

📖 Read more:
Arxiv: https://lnkd.in/gdKxDsjT
Blog: https://lnkd.in/g2wsWcWm",51,2,4,6d,Avi Aggarwal reposted this,Somi Agarwal,https://www.linkedin.com/in/shubhankar-agarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-10-16T11:29:00.000Z,,2025-10-16T00:00:00.000Z,,,16-10-2025
https://www.linkedin.com/feed/update/urn:li:activity:7382331344309280768,https://media.licdn.com/dms/image/v2/D5622AQG75IAXxKPT3g/feedshare-shrink_800/B56ZnNOlkrIYAg-/0/1760084778386?e=1762992000&v=beta&t=6XsPrjZ3sM8ScVSwy33BTdF0QMMk49aOFLHH6fo2T14,Image,"Building AI Companions? It's running 99% BLIND, Here’s why


Traditional product analytics tools e.g. Google Analytics, Amplitude, PostHog, etc were built for clicks, not conversations.

In web or mobile, you can track a user journey:
Button clicked → Page viewed → Item purchased

But in AI Companion apps?
Type → Press Enter → Type again

That’s it.
No events. No funnels. No visibility into why users do what they do.

So when your Product Manager asks:
1️⃣ Why are users dropping off?
2️⃣ What features are driving retention?
3️⃣ How can I increase paying user%?
4️⃣ Which A/B experiments should I run?

You can’t answer because the signal is buried inside unstructured chat logs and voice transcripts.

The truth: your AI Companion isn’t missing features → it’s missing user understanding.

You need analytics that will decode black box natural language: extracting user insights and mapping to product KPIs for driving business growth.

Question for founders and PMs: How do you make sense of conversational data today?

#AICompanions #AIProducts #LLMAnalytics #ProductManagement #AIAgents #UserInsights #UserAnalytics",4,0,1,1w,Avi Aggarwal reposted this,Avi Aggarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-10-15T11:29:00.000Z,,2025-10-10T00:00:00.000Z,,,15-10-2025
https://www.linkedin.com/feed/update/urn:li:activity:7382330630103068673,https://media.licdn.com/dms/image/v2/D5622AQG75IAXxKPT3g/feedshare-shrink_800/B56ZnNOlkrIYAg-/0/1760084778386?e=1762992000&v=beta&t=6XsPrjZ3sM8ScVSwy33BTdF0QMMk49aOFLHH6fo2T14,Image,"Building AI Companions? It's running 99% BLIND, Here’s why


Traditional product analytics tools e.g. Google Analytics, Amplitude, PostHog, etc were built for clicks, not conversations.

In web or mobile, you can track a user journey:
Button clicked → Page viewed → Item purchased

But in AI Companion apps?
Type → Press Enter → Type again

That’s it.
No events. No funnels. No visibility into why users do what they do.

So when your Product Manager asks:
1️⃣ Why are users dropping off?
2️⃣ What features are driving retention?
3️⃣ How can I increase paying user%?
4️⃣ Which A/B experiments should I run?

You can’t answer because the signal is buried inside unstructured chat logs and voice transcripts.

The truth: your AI Companion isn’t missing features → it’s missing user understanding.

You need analytics that will decode black box natural language: extracting user insights and mapping to product KPIs for driving business growth.

Question for founders and PMs: How do you make sense of conversational data today?

#AICompanions #AIProducts #LLMAnalytics #ProductManagement #AIAgents #UserInsights #UserAnalytics",4,0,1,1w,Post,Avi Aggarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-10-15T11:29:00.000Z,,2025-10-10T00:00:00.000Z,,,15-10-2025
https://www.linkedin.com/feed/update/urn:li:activity:7381348612301258752,https://media.licdn.com/dms/image/v2/D4D22AQF-wMcnLbdFOg/feedshare-shrink_800/B4DZm_H3.CJcAg-/0/1759848139407?e=1762992000&v=beta&t=7tf6qsicTwbc7_jaj2lx2lfFGwcjqoTgrnRyfvBtCMk,Image,"OpenAI just killed thousands of agent startups? No, it's totally opposite tbh


It didn’t kill them, it matured them. Think of it like education 🎓

1/ OpenAI’s Agent Builder is the primary school - it gets everyone started, learning the basics of agentic workflows.

2/But as these builders grow, they’ll “graduate” to the colleges - tools like n8n, Make, etc that power multi-model sophisticated automation.

So yes, there might be fewer hobbyists signing up in the short-term, but they’ll get higher-quality builders, ready to pay and scale.

OpenAI just expanded the top of the funnel and upgraded its quality for agent builder startups.

It just gave them smarter students. 🚀

BTW 'lol' meant 'lots of learnings'

#AIAgents #AgenticWorkflows #AIStartups #Automation #NoCode #ProductGrowth #LLM",13,7,1,2w,Avi Aggarwal reposted this,Avi Aggarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-10-07T11:29:00.000Z,,2025-10-07T00:00:00.000Z,,,08-10-2025
https://www.linkedin.com/feed/update/urn:li:activity:7381338096333742080,https://media.licdn.com/dms/image/v2/D4D22AQF-wMcnLbdFOg/feedshare-shrink_800/B4DZm_H3.CJcAg-/0/1759848139407?e=1762992000&v=beta&t=7tf6qsicTwbc7_jaj2lx2lfFGwcjqoTgrnRyfvBtCMk,Image,"OpenAI just killed thousands of agent startups? No, it's totally opposite tbh


It didn’t kill them, it matured them. Think of it like education 🎓

1/ OpenAI’s Agent Builder is the primary school - it gets everyone started, learning the basics of agentic workflows.

2/But as these builders grow, they’ll “graduate” to the colleges - tools like n8n, Make, etc that power multi-model sophisticated automation.

So yes, there might be fewer hobbyists signing up in the short-term, but they’ll get higher-quality builders, ready to pay and scale.

OpenAI just expanded the top of the funnel and upgraded its quality for agent builder startups.

It just gave them smarter students. 🚀

BTW 'lol' meant 'lots of learnings'

#AIAgents #AgenticWorkflows #AIStartups #Automation #NoCode #ProductGrowth #LLM",13,7,1,2w,Post,Avi Aggarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-10-07T11:29:00.000Z,,2025-10-07T00:00:00.000Z,,,08-10-2025
https://www.linkedin.com/feed/update/urn:li:activity:7378787579896393729,https://media.licdn.com/dms/image/v2/D5622AQEI4ZnfTZB62w/feedshare-shrink_800/B56Zma4MyYHQAg-/0/1759240048791?e=1762992000&v=beta&t=2_EyeKiODNmNBsinOrQf0-KeCRAeQoy2acQc1ANNdXg,Image,"ChatGPT as both Mall and Billboard?

You might have read two isolated headlines:
🛒 Shopping is becoming native to The Sales Mind
📢 OpenAI is building in-house advertising team
 
Guess what? 
They’re deeply connected!

But why?
Because the shopping funnel is being rebuilt inside the chat interface:
Discovery → influenced by Ads + prompts
Consideration → personalized conversations with ChatGPT
Checkout → one-click, agentic, powered by Stripe

This is the holy grail of digital commerce: ad → conversation → purchase, all without leaving the chat.

Brands and sellers, it's time to think beyond 'click' to 'conversations'
👉 Start working on GEO to rethink how their products are “indexed” in AI-native environments. Use products like Profound, Peec AI, etc.
👉 Understand user behaviour in conversations of your platform using tools like Dimension Labs, Botanalytics, etc.

We’re not just talking about AI assistants anymore. We’re talking about the next platform for commerce + advertising, with 700M users already inside the ChatGPT mall.

#AICommerce #AgenticPayments #ConversationalAI #AdTech #DigitalAdvertising #PlatformShift",6,1,1,3w,Post,Avi Aggarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-09-30T11:29:00.000Z,,2025-09-30T00:00:00.000Z,,,01-10-2025
https://www.linkedin.com/feed/update/urn:li:activity:7376951064903745536,https://media.licdn.com/dms/image/v2/D5622AQEU5imDMAi0rQ/feedshare-shrink_800/B56ZmAww1AJoAg-/0/1758801892072?e=1762992000&v=beta&t=OmPJv13OvnOwFxiiEDYCSF08KZ0YLWcNrLYE8GmAm_I,Image,"ChatGPT just dropped its official usage report - a tectonic shift is unfolding in how people use it!

Which are the major trends?
📉 Writing (PINK) has declined sharply (36% → 23%)
📈 Seeking Information (RED) has surged (18% → 24%), recently overtaking Writing to become the #2 use case of The Sales Mind 

What does this mean?
Consumers are no longer just writing essays, drafting emails, or brainstorming with ChatGPT. Increasingly, they’re using it like a discovery engine to explore products, ideas, and solutions in a way that’s personalized, contextual, and fluff free.

What that’s a big deal?
ChatGPT is influencing how users discover products online. Instead of Google, now OpenAI is deciding whether the user will purchase from your website or your competitors'.

How does this impact you?
👉 Is your brand discoverable in AI-native ways?
👉👉 When buyers ask ChatGPT does your product show up?
👉👉👉 Is your website's landing page contextualised for AI referral traffic? 

The ground is moving under digital commerce and SaaS buying decisions. Are online sellers ready for this shift?

👇 Link to the official ChatGPT's report is in comments. Must Read for all online businesses.

#AIProductDiscovery #ConversationalAI #ConsumerBehavior #AIShift",2,3,1,3w,Avi Aggarwal reposted this,Avi Aggarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-09-30T11:29:00.000Z,,2025-09-25T00:00:00.000Z,,,01-10-2025
https://www.linkedin.com/feed/update/urn:li:activity:7376949820684435456,https://media.licdn.com/dms/image/v2/D5622AQEU5imDMAi0rQ/feedshare-shrink_800/B56ZmAww1AJoAg-/0/1758801892072?e=1762992000&v=beta&t=OmPJv13OvnOwFxiiEDYCSF08KZ0YLWcNrLYE8GmAm_I,Image,"ChatGPT just dropped its official usage report - a tectonic shift is unfolding in how people use it!

Which are the major trends?
📉 Writing (PINK) has declined sharply (36% → 23%)
📈 Seeking Information (RED) has surged (18% → 24%), recently overtaking Writing to become the #2 use case of The Sales Mind 

What does this mean?
Consumers are no longer just writing essays, drafting emails, or brainstorming with ChatGPT. Increasingly, they’re using it like a discovery engine to explore products, ideas, and solutions in a way that’s personalized, contextual, and fluff free.

What that’s a big deal?
ChatGPT is influencing how users discover products online. Instead of Google, now OpenAI is deciding whether the user will purchase from your website or your competitors'.

How does this impact you?
👉 Is your brand discoverable in AI-native ways?
👉👉 When buyers ask ChatGPT does your product show up?
👉👉👉 Is your website's landing page contextualised for AI referral traffic? 

The ground is moving under digital commerce and SaaS buying decisions. Are online sellers ready for this shift?

👇 Link to the official ChatGPT's report is in comments. Must Read for all online businesses.

#AIProductDiscovery #ConversationalAI #ConsumerBehavior #AIShift",2,3,1,3w,Post,Avi Aggarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-09-30T11:29:00.000Z,,2025-09-25T00:00:00.000Z,,,01-10-2025
https://www.linkedin.com/feed/update/urn:li:activity:7376292029586354176,https://media.licdn.com/dms/image/v2/D5605AQHPiLCGptOyRw/feedshare-thumbnail_720_1280/B56Zl1V9x8HAAw-/0/1758610326699?e=1761717600&v=beta&t=kCmx549Z1GVsCZpCJWKZZTWAWNtsc-mRs4-5mRJUC4s,Video (LinkedIn Source),"gemini just entered the AI browser wars.

i was kinda expecting it.

Google Chrome has been the same for 30 years → open tab → search → scroll → click.

now with gemini built in, that entire workflow is… obsolete.

gemini doesn’t just “show” the web. it acts on it (watch the launch video)
- reads context on a page
- fills forms
- summarizes docs
- drafts replies
- navigates sites
- even chains steps together into full workflows

your browser isn’t just a window anymore.
it’s becoming an agent.

honestly?

this isn’t about adding convenience features.
this is about google pumping gasoline in the 'AI browser' wars.

because suddenly, comet (Perplexity), agent (The Sales Mind), arc (The Browser Company), Genspark, Fellou all have to race against time:
stay an horizontal AI browser… or build for vertical use cases

and for businesses? the real shift is this:
your website won’t just compete for human clicks anymore.
it’ll compete for agent interactions, how AI decides to act on your site.

the litmus test?
if google REALLY wants to leave everyone else in the dust,
they should make gemini capable of booking train tickets on IRCTC

#AgenticAI #AIBrowsers #BrowserWars #GoogleGemini #ChromeAI #AIAutomation",5,0,1,4w,Avi Aggarwal reposted this,Avi Aggarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-09-22T11:29:00.000Z,,2025-09-23T00:00:00.000Z,,,24-09-2025
https://www.linkedin.com/feed/update/urn:li:activity:7376216270465060864,https://media.licdn.com/dms/image/v2/D5605AQHPiLCGptOyRw/feedshare-thumbnail_720_1280/B56Zl1V9x8HAAw-/0/1758610326699?e=1761717600&v=beta&t=kCmx549Z1GVsCZpCJWKZZTWAWNtsc-mRs4-5mRJUC4s,Video (LinkedIn Source),"gemini just entered the AI browser wars.

i was kinda expecting it.

Google Chrome has been the same for 30 years → open tab → search → scroll → click.

now with gemini built in, that entire workflow is… obsolete.

gemini doesn’t just “show” the web. it acts on it (watch the launch video)
- reads context on a page
- fills forms
- summarizes docs
- drafts replies
- navigates sites
- even chains steps together into full workflows

your browser isn’t just a window anymore.
it’s becoming an agent.

honestly?

this isn’t about adding convenience features.
this is about google pumping gasoline in the 'AI browser' wars.

because suddenly, comet (Perplexity), agent (The Sales Mind), arc (The Browser Company), Genspark, Fellou all have to race against time:
stay an horizontal AI browser… or build for vertical use cases

and for businesses? the real shift is this:
your website won’t just compete for human clicks anymore.
it’ll compete for agent interactions, how AI decides to act on your site.

the litmus test?
if google REALLY wants to leave everyone else in the dust,
they should make gemini capable of booking train tickets on IRCTC

#AgenticAI #AIBrowsers #BrowserWars #GoogleGemini #ChromeAI #AIAutomation",5,0,1,4w,Post,Avi Aggarwal,https://www.linkedin.com/in/avi-aggarwal-product-manager,https://www.linkedin.com/in/avi-aggarwal-product-manager/,2025-09-22T11:29:00.000Z,,2025-09-23T00:00:00.000Z,,,24-09-2025
