postUrl,imgUrl,type,postContent,likeCount,commentCount,repostCount,postDate,action,author,authorUrl,profileUrl,timestamp,viewCount,postTimestamp,sharedPostUrl,approximateDate
https://www.linkedin.com/feed/update/urn:li:activity:7376528955018952704,https://media.licdn.com/dms/image/v2/D4E22AQFD9mMQ3FVJZA/feedshare-shrink_800/B4EZl6tj21IQAg-/0/1758700390755?e=1762992000&v=beta&t=ovkRdlrb4xJdqliEKB_Z212tDDPW07Kj4lxvA-aLdaw,Image,"🚀 Exciting week ahead in Halifax!

I’ll be attending the 2025 Atlantic Deal Source Conference on September 24th — Canada’s largest live dealmakers’ event connecting top investors, corporate executives, and M&A professionals for an afternoon of pre-scheduled, one-on-one meetings, designed to accelerate deal flow and foster meaningful partnerships. This is a key platform for capital allocators, PE firms, and investment bankers.

Following that, I’ll be at the Atlantic Network Conference 2025 (ACG Toronto Chapter) hosted by Deloitte on September 25th.

At AlgoEdge, we’re building the future of quant-driven investing — partnering with family offices, institutional investors, and forward-looking allocators who are exploring opportunities in the U.S. markets and the evolving crypto regime.

Always energized to connect with like-minded investors and market enthusiasts. If you’re attending either event, let’s grab a coffee and chat about where the next wave of opportunities lies.

💡 Drop me a message here — would love to connect!

#Investing #CapitalMarkets #FamilyOffices #AlgoEdge #Networking #ACGToronto #DealSourceCanada #Halifax",17,0,1,4w,"Kunal Dhawan MBA, PMP reposted this","Shashank Roheria, MBA, PMP, LL.B (Hons)",https://www.linkedin.com/in/shashank-roheria,https://www.linkedin.com/in/kudhawan/,2025-09-22T22:05:00.000Z,,2025-09-24T00:00:00.000Z,,2025-09-24
https://www.linkedin.com/feed/update/urn:li:activity:7364204680131874816,,Text,"🚀 Quant Research Interns – We’re on the lookout! 🚀

Love markets? Speak Python? Dream in Greeks? 🧮📈
Then you might just vibe with us at AlgoEdge.

We’re a quant research firm building strategies that run across the US & Indian markets – equities, derivatives, and crypto.

We’re hunting for final-year students / 2025 grads who:
 ✨ Know their options trading (India or US)
 ✨ Can break down the Greeks like a pro
 ✨ Write clean, sharp Python code
 ✨ Are excited to work onsite for 6 months (and maybe stick around full-time 👀)

What’s in it for you?
Real exposure to live strategies in global markets 🌍
Mentorship from a team that’s been there, done that
A shot at a full-time role if you crush it 💯

If this sounds like your kind of hustle → drop us your details at https://lnkd.in/euHWCkii

Let’s make markets move – systematically. ⚡

#Hiring #QuantResearch #OptionsTrading #Python #AlgoTrading #Internship


https://lnkd.in/euHWCkii",71,5,2,2mo,"Kunal Dhawan MBA, PMP reposted this","Shashank Roheria, MBA, PMP, LL.B (Hons)",https://www.linkedin.com/in/shashank-roheria,https://www.linkedin.com/in/kudhawan/,2025-08-23T22:05:00.000Z,,2025-08-21T00:00:00.000Z,,2025-08-23
https://www.linkedin.com/feed/update/urn:li:activity:7362852451370061824,https://media.licdn.com/dms/image/v2/D4D22AQGQt06l49q0cA/feedshare-shrink_800/B4DZh1uT0VG8Ak-/0/1754321732444?e=1762992000&v=beta&t=Cixlkr4E5N4Pud6ewLwJX9P8XkGbTgYe23b2O98GlG0,Image,"Recapping our U.S. strategies' performance over the past 6 months.

Performance far ahead of S&P 500 & QQQ.

Traded: S&P 500 options, Nasdaq options, U.S. equities ETFs.

Built on a mix of mean reversion, momentum, and directional strategies.

Reach out for more information —> https://lnkd.in/dHCAVSTr",22,0,2,2mo,"Kunal Dhawan MBA, PMP reposted this",AlgoEdge,https://www.linkedin.com/company/algoedge-cad,https://www.linkedin.com/in/kudhawan/,2025-08-23T22:05:00.000Z,,2025-08-17T00:00:00.000Z,,2025-08-23
https://www.linkedin.com/feed/update/urn:li:activity:7337769406048935937,,Text,"🚀 Exciting Opportunity: 
ML/AI Quant Internships at AlgoEdge – Gurgaon Office
Are you passionate about Machine Learning, AI, and Financial Markets?

Do you want to build real trading strategies, not just theoretical models?
At AlgoEdge, we're building India's next-gen quant trading and analytics platform, leveraging multi-factor models, AI, and big data to outperform global markets.

👉 We’re currently hiring 2 interns / junior quant researchers to join our core team at the Gurgaon office.
🔬 What You'll Work On:
 ✔ Build predictive ML models for alpha generation
 ✔ Enhance execution logic using reinforcement learning & NLP
 ✔ Backtest strategies using large-scale tick and alt-data
 ✔ Work closely with experienced quants and traders in a collaborative, high-impact environment

🎓 Who Should Apply:
✔ Background in Statistics, Mathematics, Computer Science, or Engineering- B.Tech/MSc/PhD candidates from top institutes (IITs, BITS, ISI, etc.) or equivalent research experience
✔ Strong skills in Python, NumPy/pandas, TensorFlow/PyTorch
✔ Curiosity for markets and a passion for solving complex problems with data
✔ Strong team spirit and a willingness to learn in a fast-paced, startup environment

✨ Why AlgoEdge?
 ✅ Paid internship with industry-best compensation
 ✅ Potential fast-track to full-time role
 ✅ Learn from seasoned quants having more than a decade's experience
 ✅ Flat structure with daily exposure to real trading decisions
 ✅ Work on actual strategies deployed in live markets

📍 Location: Gurgaon
 
📩 To Apply: Fill this form
https://lnkd.in/ekq2NpFe

Let’s build the future of AI-driven Quant Finance – together.
#QuantInternship #HiringNow #MachineLearning #QuantTrading #AIinFinance #DataScience #AlgoEdge #QuantJobs #Gurgaon #IIT #FinanceCareers #InternshipOpportunity",49,0,4,4mo,"Kunal Dhawan MBA, PMP reposted this","Shashank Roheria, MBA, PMP, LL.B (Hons)",https://www.linkedin.com/in/shashank-roheria,https://www.linkedin.com/in/kudhawan/,2025-06-24T22:05:00.000Z,,2025-06-09T00:00:00.000Z,,2025-06-24
https://www.linkedin.com/feed/update/urn:li:activity:7321951205327327232,,Text,"Building AlgoEdge has been an incredible journey so far from an idea on paper to a powerful, Quant research team now ready to scale globally.

As we continue to grow, we are actively looking to add exceptional talent to our team!

We are specifically looking for people with deep expertise and passion for equity markets —
both in the U.S. markets and the Indian markets.

If you have experience in equity research, trading strategies, portfolio management, or quant modeling, and you are excited about working with a team that is pushing the boundaries of machine learning and automation in investing, we would love to hear from you!

At AlgoEdge, we believe in ownership, innovation, and precision and we’re building a culture that empowers every team member to make an impact from day one.

Know someone who might be a fit? Feel free to tag them or share this post!

If this resonates with you (or someone you know), feel free to DM me or drop a note at Kunal.dhawan@algoedge.io

Let’s build the future of investing, together.

#Hiring #Equities #USMarkets #IndianMarkets #AlgoTrading #Fintech #QuantitativeResearch #AI",51,2,3,5mo,Post,"Kunal Dhawan MBA, PMP",https://www.linkedin.com/in/kudhawan,https://www.linkedin.com/in/kudhawan/,2025-05-25T22:05:00.000Z,,2025-04-26T00:00:00.000Z,,2025-05-25
https://www.linkedin.com/feed/update/urn:li:activity:7318362054443024384,,Text,"We’re hiring Senior Quant Equity Traders:

AlgoEdge is scaling up and expanding its quantitative research operations to meet demand.

We’re looking for experienced, ambitious and skilled quant traders ready to prove their trading abilities in a quant research fintech positioned for growth and innovation.

Fill out your information here and we'll reach out to you: https://lnkd.in/da9k4S_F
 
#QuantitativeTrading #AlgoEdge #QuantTraders #Hiring",15,0,3,6mo,"Kunal Dhawan MBA, PMP reposted this",AlgoEdge,https://www.linkedin.com/company/algoedge-cad,https://www.linkedin.com/in/kudhawan/,2025-04-25T22:05:00.000Z,,2025-04-17T00:00:00.000Z,,2025-04-25
https://www.linkedin.com/feed/update/urn:li:activity:7316473805877456897,,Article,"We’re Hiring Quant Interns:

AlgoEdge is scaling up and expanding its quantitative research operations to meet our growing demand.

We’re looking for ambitious, skilled quant traders ready to prove their trading abilities in a fintech positioned for growth and innovation.

Connect with us if you’re passionate about quantitative trading and want to work and learn with a dynamic team.

Reach out here: https://lnkd.in/d6Chd_E7
 
#QuantitativeTrading #AlgoEdge #QuantTraders #Hiring",22,1,2,6mo,"Kunal Dhawan MBA, PMP reposted this",AlgoEdge,https://www.linkedin.com/company/algoedge-cad,https://www.linkedin.com/in/kudhawan/,2025-04-25T22:05:00.000Z,,2025-04-11T00:00:00.000Z,https://forms.gle/RyzCUgwR7VR8Ko5M7,2025-04-25
https://www.linkedin.com/feed/update/urn:li:activity:7303659618528829441,,Text,"AlgoEdge is calling current and aspiring quantitative traders to participate in a Trading Strategy Competition March 14th – 19th, 2025!

This competition is for all college students to design and present their trading strategy.
 
Strategies will be based on historical data, target Sharpe ratio, and a clear strategy outline.
 
The best strategy will win $1000 and will have the opportunity to work at AlgoEdge.

Learn more here: https://shorturl.at/RxnWQ

Looking forward to your participation in this competition!

#AlgoEdge #TradingCompetition #QuantitativeTrading",24,0,2,7mo,"Kunal Dhawan MBA, PMP reposted this",AlgoEdge,https://www.linkedin.com/company/algoedge-cad,https://www.linkedin.com/in/kudhawan/,2025-03-26T22:05:00.000Z,,2025-03-07T00:00:00.000Z,,2025-03-26
https://www.linkedin.com/feed/update/urn:li:activity:7302867883406028801,https://media.licdn.com/dms/image/v2/D5622AQEuR84_ncnRqQ/feedshare-shrink_800/B56ZVjC8O1GsAg-/0/1741123470602?e=1762992000&v=beta&t=nYmhtZ01hKWp5vzr2l7OHsVHDvkgzBDy4IbT2_l7QbY,Image,"As Canada grapples with the USA tariffs imposed by Donald Trump yesterday, research among n=764 Canadians conducted by SquareKnot Analytics shows that 62% of Canadians believe Canada's trade tensions will have the largest impact on the investment climate for 2025. #tariffs #USA #Canada #tradetensions #polling",27,4,7,7mo,"Kunal Dhawan MBA, PMP reposted this",Mike Rodenburgh,https://www.linkedin.com/in/mrodenburgh,https://www.linkedin.com/in/kudhawan/,2025-03-26T22:05:00.000Z,,2025-03-05T00:00:00.000Z,,2025-03-26
https://www.linkedin.com/feed/update/urn:li:activity:7272270866229424128,,Text,"📢 WE ARE #HIRING!!! 📢 

Calling All Visionary Future #CFOs! Join the AlgoEdge Revolution 

Are you passionate about #finance, growth, and making an impact? Ready to roll up your sleeves and work alongside a bunch of crazy, driven, workaholic dreamers building something extraordinary? If yes, keep reading.

🕵‍♂️ What’s the role?
This isn’t your average CFO gig. You’ll be wearing multiple hats—managing AUM, navigating multi-jurisdiction compliance, overseeing financial transactions, and even driving fundraising efforts by connecting with family offices and funds. Think of this as your chance to help shape the future of fintech.

👉 Who’s the right fit? 👇 
A CPA (or willing to get there soon!)
Deep experience in the investment/AUM space.
Bonus points for working with family offices, prop desks, VCs, or investment funds.
A self-starter who thrives in a fast-paced, dynamic environment.
Someone who loves strategy as much as getting into the details.

🤝 What’s in it for you?
Flexible hours and remote setup.
A democratic, collaborative culture where your voice matters.
ESOPs and competitive pay—you’re not just an employee but part of the journey.
The chance to build something impactful with a team that dreams big and delivers even bigger.

We’re not looking for just a CFO—we’re looking for a #partnerincrime to help us navigate challenges, seize opportunities, and turn AlgoEdge into a global #fintech powerhouse.

If you or someone you know might be the right fit, tag them here or reach out. Let’s connect and explore if you’re the game-changer we’re searching for!

🏃‍♂️‍➡️ Ready to dive in? Drop me a message or share your CV.

#CFOHiring #FintechLeadership #AlgoEdge #Entrepreneurship #StartupJourney",30,0,2,10mo,"Kunal Dhawan MBA, PMP reposted this","Shashank Roheria, MBA, PMP, LL.B (Hons)",https://www.linkedin.com/in/shashank-roheria,https://www.linkedin.com/in/kudhawan/,2024-12-26T22:05:00.000Z,,2024-12-10T00:00:00.000Z,,2024-12-26
