file_name,startup_name,industry,business_model,founder_name,founder_linkedin,extraction_method
02cdcaad136f-Frenchie_Final_Investor_Pitch.pdf,Error - No Text,,,,,failed
1-BeAble Health-Habib.pptx.pdf,BeAble Health Pvt Ltd,HealthTech,B2B2C,Habib Ali,,gemini
1-BeAble Health-Habib.pptx.pdf,BeAble Health Pvt Ltd,HealthTech,B2B2C,Sreehari KG,,gemini
1-GRIDsentry-Rajesh Rathi.pdf,Powergrid Cybersecurity,Deeptech,B2B,Devika Jay,,gemini
1-GRIDsentry-Rajesh Rathi.pdf,Powergrid Cybersecurity,Deeptech,B2B,Rajesh Rathi,,gemini
1. VoiceOwl Investor Deck-Mar25.pdf,Voice AI Agents,"AI/ML, SaaS, Enterprise Software",B2B,Vivek Jain,,gemini
1. VoiceOwl Investor Deck-Mar25.pdf,Voice AI Agents,"AI/ML, SaaS, Enterprise Software",B2B,Ruchika Drabla,,gemini
1. VoiceOwl Investor Deck-Mar25.pdf,Voice AI Agents,"AI/ML, SaaS, Enterprise Software",B2B,Piyush Keshwani,,gemini
10-Athrv Cloud-Jayanta Kumar.pptx.pdf,Athrv Cloud,SaaS,B2B,Jayanta Panda,,gemini
10-Uzaq-Saurabh Kumar.pptx.pdf,UZAQ,Automotive Technology,B2B,Saurabh Kumar,,gemini
10-Uzaq-Saurabh Kumar.pptx.pdf,UZAQ,Automotive Technology,B2B,Rohan Yajurvedi,,gemini
10-Uzaq-Saurabh Kumar.pptx.pdf,UZAQ,Automotive Technology,B2B,Deven Sharma,,gemini
101GenAI - May_25.pdf,Error - No Text,,,,,failed
101GenAI - New deck - Jun_25.pdf,Error - No Text,,,,,failed
11-STEMpedia - Vikas & Dhrupal.pdf,STEMpedia,EdTech,"B2B, B2C, D2C",Dhrupal Shah,,gemini
11-STEMpedia - Vikas & Dhrupal.pdf,STEMpedia,EdTech,"B2B, B2C, D2C",Pankaj Verma,,gemini
11-STEMpedia - Vikas & Dhrupal.pdf,STEMpedia,EdTech,"B2B, B2C, D2C",Umakant Soni,,gemini
12-Vibinex-Avikalp Gupta.pptx.pdf,Vibinex,SaaS,B2B,Avikalp Gupta,,gemini
12-Vibinex-Avikalp Gupta.pptx.pdf,Vibinex,SaaS,B2B,Tapish Rathore,,gemini
13-TableSprint-Abhijeet kumar.pdf,TableSprint,AI No-Code Platform,B2B,Abhijeet Kumar,https://www.linkedin.com/in/abhijeet-kumar-5088a31,gemini
13-TableSprint-Abhijeet kumar.pdf,TableSprint,AI No-Code Platform,B2B,Chirag Jadhav,,gemini
13693f1fa0b8-NESTA_Toys__Pitch_deck_Jul25_Mail.pdf,NESTA TOYS,Toys & Games,D2C,NEHA MAKDEY,,gemini
13693f1fa0b8-NESTA_Toys__Pitch_deck_Jul25_Mail.pdf,NESTA TOYS,Toys & Games,D2C,PRAFUL KULARKAR,,gemini
14-PropelPro-Himanshu Arora.pdf,PropelPro,"AI/ML, SaaS, Construction Tech",SaaS,Himanshu Arora,,gemini
14-PropelPro-Himanshu Arora.pdf,PropelPro,"AI/ML, SaaS, Construction Tech",SaaS,Kushagra Singhania,,gemini
15-Neurasim-Girish Somvanshi.pdf,NeuraSim,"HealthTech, XR, Neuroscience","B2B, B2C",Girish Somvanshi,,gemini
15-Neurasim-Girish Somvanshi.pdf,NeuraSim,"HealthTech, XR, Neuroscience","B2B, B2C",Avi Dwiwedi,,gemini
15-Neurasim-Girish Somvanshi.pdf,NeuraSim,"HealthTech, XR, Neuroscience","B2B, B2C",Dr. Ramesh S,,gemini
16-RawPharma Biz - Rushil Barot.pdf,RawPharma Biz Pvt Ltd,"E-commerce, Food Raw Materials, Pharma Raw Materials, Chemical Raw Materials",B2B,Rushil Barot,,gemini
16-RawPharma Biz - Rushil Barot.pdf,RawPharma Biz Pvt Ltd,"E-commerce, Food Raw Materials, Pharma Raw Materials, Chemical Raw Materials",B2B,Yashvi Barot,,gemini
1743578820684-Yani Green - Pradeep Verma.pdf,Yani Green Industries,Sustainable Packaging,B2B,Pradeep Verma,,gemini
1744010936557-NTPL _AY Ventures Pitch Deck.pdf,Infinite Horizons,Maritime Technology / Defense / AI/ML,"B2B, B2G",Neh Jawanpuria,,gemini
1744010936557-NTPL _AY Ventures Pitch Deck.pdf,Infinite Horizons,Maritime Technology / Defense / AI/ML,"B2B, B2G",Dinesh Sahoo,,gemini
1744010936557-NTPL _AY Ventures Pitch Deck.pdf,Infinite Horizons,Maritime Technology / Defense / AI/ML,"B2B, B2G",Parkash Sha,,gemini
1744180701142-Target PEAK April 2025 - Praveen Bansal.pdf,RevoEducation Pvt. Ltd.,EdTech,B2B,Dr. Praveen Bansal,,gemini
1744180701142-Target PEAK April 2025 - Praveen Bansal.pdf,RevoEducation Pvt. Ltd.,EdTech,B2B,Manisha Bansal,,gemini
1A MyJ Slide Deck INR.pdf,MyJ,"Jewellery, Gems, E-commerce, Information Services",B2C,Manoj Singhania,https://www.linkedin.com/in/manoj-singhania-834846b,gemini
1e8bd817ebd4-HooLiv_Deck.pdf,HooLiv,Student Housing,"B2C, B2B2C",CHINMOY MISHRA,,gemini
1e8bd817ebd4-HooLiv_Deck.pdf,HooLiv,Student Housing,"B2C, B2B2C",GAURAV VIJ,,gemini
1e8bd817ebd4-HooLiv_Deck.pdf,HooLiv,Student Housing,"B2C, B2B2C",ABHISHEK VERMA,,gemini
1e8bd817ebd4-HooLiv_Deck.pdf,HooLiv,Student Housing,"B2C, B2B2C",RASMI MISHRA,,gemini
1Fi_Investor Pitch Deck_20250808.pdf,1Fi,FinTech,B2B2C,Pranav Aggarwal,,gemini
1Fi_Investor Pitch Deck_20250808.pdf,1Fi,FinTech,B2B2C,Ankur Singla,,gemini
1Fi_Investor Pitch Deck_20250808.pdf,1Fi,FinTech,B2B2C,Shubham Jain,,gemini
2-Tecno8.ai - Ravinder Kumar.pdf,TECNOD8.AI,"AI/ML, Industrial Engineering",B2B,Ravinder Kumar,,gemini
2-Tecno8.ai - Ravinder Kumar.pdf,TECNOD8.AI,"AI/ML, Industrial Engineering",B2B,Akshar Singh,,gemini
2024.12.27_Better Mobility_Presentation_v3Shared.pdf,Better Mobility,Logistics,B2C,Vansh Arora,https://www.linkedin.com/in/thevansharora/,gemini
202407_H2C0_Seed_vF.pdf,H C,Hydrogen Fuel Cells,B2B,Santosh Gurunath,,gemini
202407_H2C0_Seed_vF.pdf,H C,Hydrogen Fuel Cells,B2B,Laxmikant Banjarey,,gemini
202504_H2C0_Summary.pdf,H2 Carbon Zero,Hydrogen Fuel Cells,OEM,Santosh Gurunath,,gemini
202504_H2C0_Summary.pdf,H2 Carbon Zero,Hydrogen Fuel Cells,OEM,Laxmikant Banjarey,,gemini
2362cc42d270-MediAI_Pitch_Deck__1_.pdf,MediAI,HealthTech,"B2C, B2B",Shreyal Shah,,gemini
2DevAi -May_25.pdf,Error - No Text,,,,,failed
3-ImpactEdge-Dr. Ram Ramanan.pdf,IMPACT-X,Sustainability Management Software,SaaS,Nikhil Nayab,,gemini
