postUrl,imgUrl,type,postContent,likeCount,commentCount,repostCount,postDate,action,author,authorUrl,profileUrl,timestamp,viewCount,postTimestamp,sharedPostUrl,videoUrl,approximateDate
https://www.linkedin.com/feed/update/urn:li:activity:7373594568681902080,,Document,"Zepto riders everywhere in Bangalore. Wanna play a game about them?

Interactive content could totally flip how engagement works - but only if you don't mess it up.

At Aicade, we're using our AI to test this.
 
Think about it - delivery guys are basically are on road of every Indian city. Zepto, Zomato, Swiggy, Amazon, Flipkart Minutes
, Swish..... You see them everywhere, so why not make them the heroes?

Check out these 5 design principles we discovered.

Chandan Mendiratta Aadit Palicha Aniket Shah Sahibjeet Singh Sawhney Viveka Sra @ - Imagine your customer playing a delivery simulation game while waiting for their order, curious what you think about advergames?

Anyone else imagining a game built around your brand? DM me for a potential collab.

Credits : Nishchal Gupta Nilaksh Parihar",15,4,2,1mo,Post,Pushkar Kumar Verma,https://www.linkedin.com/in/pushkarkumarverma,https://www.linkedin.com/in/pushkarkumarverma/,2025-09-22T21:45:00.000Z,,2025-09-16T00:00:00.000Z,,,2025-09-22
https://www.linkedin.com/feed/update/urn:li:activity:7373291440598212608,,Document,"Your face or brand in a game. Sounds cool, right?

Your actual face as the hero. Your brand's real products as game items. Your friends as actual teammates.

We've been trying to crack personalized games at Aicade for months - kept hitting the same wall. AI would butcher faces, make products look fake, consistency was garbage.

Google's Nano Banana just changed everything.

Integrated it into our pipeline, tweaked it, and suddenly... it actually works. Like, properly works.

Two huge opportunities just unlocked.

Which feels more like your thing?

We put our own faces in first — see how it turned out 👇 
Featuring @ Nishchal Gupta & Sangrish Saigiridhar

PS: Brand game demo → Coming soon

#AI #Google #Game OpenAI",10,7,2,1mo,Post,Pushkar Kumar Verma,https://www.linkedin.com/in/pushkarkumarverma,https://www.linkedin.com/in/pushkarkumarverma/,2025-09-22T21:45:00.000Z,,2025-09-15T00:00:00.000Z,,,2025-09-22
https://www.linkedin.com/feed/update/urn:li:activity:7364561920139423746,https://media.licdn.com/dms/image/v2/D5622AQFHEdiQ5r-BEQ/feedshare-shrink_800/B56ZjQuCbcG4Ag-/0/1755848386923?e=1762992000&v=beta&t=-5xYYsB_Z1AE64or6OfVnxVAGadylAww724au9FI6cY,Image,"The industry that promised to make everyone rich lost it all, and it wasn't from one law.

Real Money Gaming  collapsed because no one asked the right questions while it was booming.

For years, this space grew with ambition, addiction and silence. Now everyone is suddenly outraged or relieved.

Instead of choosing sides: How did we build something so big, so fast, and so fragile?

Government - Collected 28% GST but why wait for an outrage to blanket ban it?
Dream11 logos on IPL jerseys? Where was the public education campaign (like Jago Grahak Jago)? Or an independent body to track social harm alongside (GST) economic data?

Industry (Builders + Investors)- Chasing CAC/LTV, and PAT. Did # of suicides or cost of ruined lives ever reached the deck? 
Is financial captivity the best engagement strategy? Could ""easy-money"" ads be more transparent? Did we have self-(moral)regulation like user caps, loss limits, or mandatory cool-off periods?

Society- Why do we keep falling for easy money illusions that monetize despair? 
Could we not see that this wasn't play but addiction by design, and we walked straight into it? 

This collapse was inevitable so is the reboot now.

People won't bet their life savings on fantasy apps anymore (probably find something new to get screwed). 

Here's how I think the industry will be set on a course of correction:

""Hope to Win"" → ""Joy of Play"" 
Free-to-play, social, and esports models will get a second wind. Gaming moves from being just a transaction to an experience again, rooted in fun, mastery, and community.

Studios → Creator-Led Economies 
Just like Insta and YouTube disrupted media — gaming is next. UGC-led platforms and interactive storytelling will unlock a new class of creators. Players won't just play. They'll design, remix, narrate, and co-build worlds.

Real Money → Real Rewards 
Forget jackpot coins, imagine unlocking Jordans you can actually wear. Games are moving toward real-world prizes: brand drops, merch rewards, and tangible perks. It's a win-win-win for players, builders, and brands alike.
Abhir Das 🔜 Gamescom at PlaySuper is doing some amazing stuff here. 

Edutainment is Coming for Real 
Game mechanics applied to skills, cognition, and growth. The winners here will design: flow-first, feedback-rich, and deeply replayable.

Capital Reset 
The best investors will recalibrate: not just for returns, but for resilience, regulation, and real user value. Sustainability and social alignment aren't trade-offs. They're the next compounding edge.

I'm sure Dream11, Mobile Premier League (MPL), Zupee & Rummy Circle will rise like phoenixes, but I'm curious to know how. Share your ideas.

#IndiaGaming #India #RealMoneyGaming #OnlineGamingBill",8,1,0,2mo,Post,Pushkar Kumar Verma,https://www.linkedin.com/in/pushkarkumarverma,https://www.linkedin.com/in/pushkarkumarverma/,2025-08-23T21:45:00.000Z,,2025-08-22T00:00:00.000Z,,,2025-08-23
https://www.linkedin.com/feed/update/urn:li:activity:7364200110630580226,https://media.licdn.com/dms/image/v2/D5622AQH0gNcKcwZ7WA/feedshare-shrink_800/B56ZjLk.QTHQAg-/0/1755762124961?e=1762992000&v=beta&t=M3e_mmCg0LqJclXtfjMZvDDrXexvika08ifbYebhaFI,Image,"Excel is for numbers....I believed that until last night.

Our game devs Nishchal Gupta and Beerkanwar Singh just built entire platformer levels using coloured cells and grid logic.

Look at the platforms, enemies, collectibles, spawn points - all mapped out in Excel like it's the natural thing.

Why Excel? We needed structured game data for our AI training, and turns out spreadsheet grids are perfect for systematic level design thinking.

Never thought I'd say this about Excel, but Microsoft's most boring tool just became one of our most creative one.

Wonder what Mr. Nadella would think about this. :D

Sometimes the best solutions are hiding in plain sight.

This game's actually playable, drop a comment and I'll DM you the link.

Game devs doing weird tool wizardry: @nilaksh, Karthik V and Jayyant Jaju.",20,3,2,2mo,Post,Pushkar Kumar Verma,https://www.linkedin.com/in/pushkarkumarverma,https://www.linkedin.com/in/pushkarkumarverma/,2025-08-23T21:45:00.000Z,,2025-08-21T00:00:00.000Z,,,2025-08-23
https://www.linkedin.com/feed/update/urn:li:activity:7340700064131989504,,Article,"If you’ve been following along — this is the thing we’ve been building behind all the blogs, posts, and carousels.

Curious?

It’s all here: https://lnkd.in/dit3YVPU",9,3,2,4mo,Pushkar Kumar Verma reposted this,Aicade,https://www.linkedin.com/company/aicade,https://www.linkedin.com/in/pushkarkumarverma/,2025-06-24T21:45:00.000Z,,2025-06-17T00:00:00.000Z,https://www.producthunt.com/products/aicade?utm_source=linkedin&utm_medium=social,,2025-06-24
https://www.linkedin.com/feed/update/urn:li:activity:7338813682748923904,https://media.licdn.com/dms/image/v2/D5605AQHx6nUHJTJxHg/videocover-high/B56Zdi0EuFHoCA-/0/1749709519116?e=1761757200&v=beta&t=PL5Fo_LMadCBC8g3-uvA8xf6y9Da6qJo_zeamzaR0OE,Video (LinkedIn Source),"Never thought this could be the reason I left my job!

Humans stuck in a scrolling loop, rotting their brains instead of engaging them actively.
Been told I had to be a techy or from gaming to solve this. But since when do you need to know everything before doing it?

Here's a bit of why I'm on this professional (actually, all life) rollercoaster in this AI creepy smiley kid from HeyGen(because frugality is a powerup).

#content #gaming #startup #AI",6,2,0,4mo,Post,Pushkar Kumar Verma,https://www.linkedin.com/in/pushkarkumarverma,https://www.linkedin.com/in/pushkarkumarverma/,2025-06-24T21:45:00.000Z,,2025-06-12T00:00:00.000Z,,blob:https://www.linkedin.com/ad898d12-96b4-468d-8ac7-25c6d5baa925,2025-06-24
https://www.linkedin.com/feed/update/urn:li:activity:7337755474974470144,,Article,"I tried making a more action-packed Flappy Bird……and it felt like I needed a B.Tech degree to pull it off.

Shouldn’t creating fun actually be fun?

 👉 Read my take on how we can truly fix game dev… and yes, for everyone.

#GameDev #Gaming #AI #Creativity

https://lnkd.in/gGgYusaa",7,4,1,4mo,Post,Pushkar Kumar Verma,https://www.linkedin.com/in/pushkarkumarverma,https://www.linkedin.com/in/pushkarkumarverma/,2025-06-24T21:45:00.000Z,,2025-06-09T00:00:00.000Z,https://medium.com/@pushkarverma_254/creating-fun-isnt-fun-adcb7aa66f2b,,2025-06-24
https://www.linkedin.com/feed/update/urn:li:activity:7336741541094297601,https://media.licdn.com/dms/image/v2/D5622AQEcc97V5NVUBg/feedshare-shrink_800/B56ZdFXQPpGoAk-/0/1749215488910?e=1762992000&v=beta&t=CZCM7JxQPvXixXb1ugsTMZh-BN8XjBwrn7-w2iBQW1s,Image,"I bet you can make a TikTok in 30 seconds. Now try that with a game...and see how long it really takes.

That’s the paradox: Interactive content is inevitable, but creating it is still stuck in the past.

My previous post talks about how passive content is dying. But here’s why the revolution is stalled:
Creating fun is… not fun.

Every content format needs two things to succeed: creation and distribution.

Distribution is solving itself as social media platforms get into gaming (topic for another blog).

Creation? Still broken.

I spent a year talking to 200+ people across the gaming ecosystem….IGDC events, billion -dollar studios, gaming schools.
Here's what I found across every skill level:
- Beginners: Want to create, freeze on code requirements
- Intermediates: Have one or max two skills but not all, no budget, compete with studios
- Studios: Spend 4+ months, six figures for ""something playable""

But the real heartbreak? The next generation of game creators.

A student at India's top gaming school told me: ""I had 23 classmates in first year who wanted to make games. Only 4 of us made it to third year. The rest gave up when creativity became computer science.""

Students aren't delusional about being creative—the tools are. They enroll to be game makers, not software engineers. But that's exactly what the creation process demands.

The ""solutions"" aren't solving it.
No-code tools still require “tech-think” and Roblox gave us walled-garden creativity.

Despite all these tools, can you really create a game right now?

Here's the reality: 3.5 billion people play game. Only technical teams can make it.
Something has to break.

I've been building toward a fundamentally different approach. 
I'll share it soon.
How do you think this gets solved?

#GameDevelopment #InteractiveContent #CreatorEconomy",17,2,1,4mo,Post,Pushkar Kumar Verma,https://www.linkedin.com/in/pushkarkumarverma,https://www.linkedin.com/in/pushkarkumarverma/,2025-06-24T21:45:00.000Z,,2025-06-06T00:00:00.000Z,,,2025-06-24
https://www.linkedin.com/feed/update/urn:li:activity:7336617844337479680,https://media.licdn.com/dms/image/v2/D4D05AQGbfsDIBuZt7w/videocover-high/B4DZc_Wu8pHMBk-/0/1749114706261?e=1761757200&v=beta&t=D5WV1DMN2fxX-V7Lzp_VUEEAgUlVQ6eZIQJvoCgQJeQ,Video (LinkedIn Source),"Reflexes intact? Or has your brain gotten too used to passive scrolling?
Could've just posted our logo. But why so boring?

Let me know the score

Credit: built by Nishchal Gupta ✨",4,2,0,4mo,Post,Pushkar Kumar Verma,https://www.linkedin.com/in/pushkarkumarverma,https://www.linkedin.com/in/pushkarkumarverma/,2025-06-24T21:45:00.000Z,,2025-06-06T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:7336318828043296768/,blob:https://www.linkedin.com/9db683b8-c2b2-4cf9-a14a-c8c912eca56e,2025-06-24
https://www.linkedin.com/feed/update/urn:li:activity:7335601310131507200,,Article,"Doom-scrolling is doomed. Playing is the new power-up!

Want to know why your audience is fleeing the scroll and how to meet them where they’re headed?

The future of attention isn’t passive—it’s interactive.

👇 Dive in and discover how interaction is rewriting the rules of engagement.",16,5,1,4mo,Post,Pushkar Kumar Verma,https://www.linkedin.com/in/pushkarkumarverma,https://www.linkedin.com/in/pushkarkumarverma/,2025-06-24T21:45:00.000Z,,2025-06-03T00:00:00.000Z,https://medium.com/p/interactive-content-isnt-the-future-c047a02ef7ec?source=social.linkedin&_nonce=92WGDIvN,,2025-06-24
